num,gX,gY,gZ,aX,aY,aZ,pitch,roll
0.0,-5.42794,0.68458,-0.82962,0.00209,0.03751,-0.09457,0.377579,0.020587
0.0,-2.02336,0.85252,0.01008,0.01088,0.08439,-0.12386,0.596289,0.07249
0.0,-1.33634,-0.8116,-0.76855,-0.00621,0.04533,-0.08822,0.473632,-0.062491
0.0,-0.86305,-0.00244,-0.05099,-0.01353,0.00578,-0.04769,0.116,-0.27454
0.0,1.6713,0.50137,0.40702,0.01528,0.01554,-0.11556,0.132549,0.130288
0.0,2.43466,-0.64366,-0.11206,0.006,0.02335,0.04459,0.478753,0.118649
0.0,3.25908,0.47084,1.03298,-0.04234,0.01115,-0.09798,0.104059,-0.405535
0.0,6.81634,-2.84214,1.6742,-0.06285,0.07853,0.26481,0.280909,-0.223724
0.0,4.49573,2.18076,2.17802,0.04555,-0.0284,-0.11654,-0.223218,0.362936
0.0,4.26672,0.71511,0.13221,0.05971,-0.06942,-0.21566,-0.300807,0.257703
0.0,2.75527,0.85252,0.46809,-0.00376,-0.09481,-0.01986,-1.360755,-0.038844
0.0,3.44229,0.27237,0.51389,0.02407,-0.07479,-0.07845,-0.739077,0.218501
0.0,5.24382,-0.35359,1.20092,0.00649,0.01652,0.02458,0.576297,0.215741
0.0,8.26672,-0.56733,1.61313,0.0309,-0.02792,0.07633,-0.326819,0.363341
0.0,8.87741,-0.33832,1.82687,0.01967,0.03654,0.09733,0.35259,0.187021
0.0,11.12168,0.19603,1.70473,-0.02134,0.01652,0.02165,0.497768,-0.664809
0.0,17.24382,-0.94901,2.91084,0.03286,-0.06991,0.08561,-0.651363,0.288952
0.0,21.74763,-1.13221,4.23908,-0.00621,-0.06747,0.2028,-0.321018,-0.029029
0.0,17.16748,2.36397,3.39939,-0.00914,0.02238,-0.15658,0.14172,-0.057695
0.0,19.53389,-1.08641,3.65893,-0.02769,0.06535,0.20573,0.304977,-0.127585
0.0,24.08351,-1.91084,4.28489,0.00551,-0.00106,0.18034,-0.005873,0.030559
0.0,24.15985,-0.00244,4.62076,0.02749,-0.02108,0.02018,-0.553682,0.755467
0.0,24.23618,-0.03298,4.51389,-0.0399,0.02287,0.09391,0.22046,-0.391477
0.0,22.8774,1.60061,4.51389,-0.01988,0.01994,-0.0765,0.247081,-0.24634
0.0,22.52626,0.63878,4.6513,0.01528,0.0214,0.02506,0.62999,0.434087
0.0,22.90794,-0.5826,4.54443,-0.00816,0.02628,0.10954,0.234879,-0.072306
0.0,24.6942,0.10443,4.42229,-0.0189,0.01261,0.10075,0.122426,-0.184052
0.0,25.21328,-0.49099,4.88031,-0.01158,-0.11336,0.01627,-1.396409,-0.100745
0.0,26.54153,0.83725,4.91084,-0.01744,0.10197,-0.10873,0.747002,-0.116448
