num,time,gX,gY,gZ,aX,aY,aZ,pitch,roll
0.0,181839116.0,0.018971728969178363,-0.006335545184739416,0.01408480706359424,0.048,-0.018,-0.191,-0.0911455844706254,0.24516717202177568
0.0,181936621.0,-0.006352998477259359,0.006719517620178169,-0.0064228116473391324,-0.029,-0.042,0.065,-0.533099298787119,-0.35853573635024577
0.0,182034117.0,-0.008220500776893291,-0.04682718383100786,0.008761552845011534,0.074,0.225,0.188,0.8391128852645698,0.2472205996536482
0.0,182131615.0,0.002181661564992912,-0.012461650859239512,0.00022689280275926284,-0.018,0.062,0.289,0.21093294199970436,-0.06082298827435065
0.0,182229122.0,-0.007155849933176751,-0.0596204472481263,0.004223696789826277,0.027,0.087,0.176,0.4544878234386115,0.13666710353604145
0.0,182326646.0,0.013107422682477415,0.041102503884466464,0.003159045946109736,0.017,-0.034,-0.245,-0.13756818683873706,0.06862118405038443
0.0,182424138.0,0.006702064327658226,0.014713125594312197,0.0037000980142279784,0.001,0.047,-0.224,0.20681915637393516,0.004369117881698443
0.0,182521619.0,0.03335324200561164,-0.02045525883337354,0.00022689280275926284,-0.008,-0.058,-0.109,-0.48789140064039127,-0.06470228800668514
0.0,182619127.0,0.01017526953912694,0.014451326206513048,-0.0042935099599060505,0.051,0.06,-0.293,0.19907267990834523,0.16889821954307682
0.0,182716650.0,5.235987755982989e-05,-0.012985249634837812,-0.004031710572106902,0.041,0.101,-0.2,0.4594081427010295,0.18098771400241942
0.0,182814137.0,-0.03166027263117714,0.03630284844148206,-0.013892820845874863,0.024,0.058,-0.163,0.33848458515104546,0.13783939918006072
0.0,182911654.0,-0.029792770331543206,-0.01806415775814131,0.000767944870877505,-0.053,0.022,-0.178,0.1179066029552436,-0.2873272344925
0.0,183009152.0,-0.035395277230445006,-0.03483677186980682,0.001832595714594046,0.059,0.176,-0.036,1.19659567661251,0.31732852292762603
0.0,183106674.0,0.07838273670706533,-0.03563962332572421,0.0066322511575784525,-0.013,0.007,0.166,0.042015216626250344,-0.07808463007811278
0.0,183204174.0,-0.0074176493209759005,0.05761331860833282,-0.011484266478122689,0.027,0.013,-0.368,0.03521682116320316,0.07319284448396825
0.0,183301673.0,-0.02579596634447619,0.026441738167714092,0.004223696789826277,-0.032,-0.117,-0.484,-0.23668774111064267,-0.06417642148868077
0.0,183399173.0,-0.024207716725161352,0.03363249468593073,-0.008552113334772215,-0.009,-0.017,-0.112,-0.15015915681425734,-0.07928064370463088
0.0,183496088.0,-0.012479104151759455,-0.020978857608971842,0.001308996938995747,-0.026,0.007,0.028,0.18118919951184181,-0.7332826437611615
0.0,183593582.0,0.007766715171374766,0.027768188399229784,-0.010419615634406148,-0.051,-0.077,0.169,-0.411312362223665,-0.2680078464014845
0.0,183691095.0,0.005113814708343385,0.014713125594312197,0.0026354471705114374,0.031,-0.022,-0.189,-0.11436599540346788,0.1615021743597932
0.0,183788587.0,0.01603957582582789,-0.004991641660703782,0.001308996938995747,-0.004,-0.032,-0.039,-0.6845597880931111,-0.0791240402195351
0.0,183886104.0,-0.03220132469929538,-0.011920598791121272,-0.0024260076602721182,0.012,0.056,-0.003,1.3534061748213577,0.21079995652215838
0.0,183983598.0,-0.015934856070708228,0.006998770300497262,-0.000296705972839036,0.012,0.058,-0.085,0.5941981416954868,0.11609048291224508
